TN	T-P	DIN	NH4	NO3	DIP	PO4
5.906	0.105	5.558	1.150651989	3.502	0.028	0.070710678
6.01	0.068	5.55	0.991967741	3.791	0.022	0.070710678
5.778	0.144	5.277	1.266491216	3.078	0.076	0.202484567
4.934	0.147	4.764	1.150651989	2.733	0.089	0.262678511
5.849	0.103	5.574	1.199583261	3.286	0.031	0.104880885
5.474	0.104	5.183	0.942337519	2.956	0.017	0
5.809111	0.104889	5.496778	0.999110604	3.829778	0.022333	0.059632206
6.451	0.125571	6.115428	1.226726131	4.360714	0.026429	0.047812132
7.201	0.154	7.033	1.566843962	3.659	0.036	0.167332005
6.516	0.113	6.112	1.349073756	3.514	0.007	0.031622777
6.474	0.121	6.413	1.628496239	3.313	0.02	0.122474487
5.253	0.194	4.828	1.31605471	2.495	0.076	0.167332005
5.247	0.103	4.865	1.274754878	2.684	0.02	0.130384048
6.025	0.137	5.562	1.401784577	2.688	0.031	0.104880885
8.581	0.121	8.252	2.107605276	2.446	0.039	0.054772256
7.477	0.128	6.936	1.939329781	2.372	0.029	0.089442719
6.339	0.101	6.074	1.676901905	2.317	0.041	0.089442719
4.182	0.128	4.153	1.346848173	1.899	0.101	0.264575131
4.41	0.175	4.023	1.18911732	1.782	0.072	0.197484177
5.747	0.191	4.741	1.357571361	1.934	0.063	0.130384048
6.001857	0.162429	5.396429	1.415273825	2.241429	0.087	0.228973798
6.193	0.141	5.888	1.457051818	2.472	0.105	0.281069386
6.795	0.156	6.646	1.881223006	1.956	0.116	0.306594194
5.679	0.149	4.857	1.315294644	1.974	0.05	0.144913767
5.803	0.101	5.504	1.393197761	2.646	0.032	0.126491106
5.226	0.118	4.94	1.379855065	1.865	0.044	0.144913767
3.833	0.118	3.484	0.980815987	1.733	0.044	0.077459667
3.245	0.101	3.043	0.531036722	1.768	0.047	0.126491106
5.327	0.081	4.891	1.37949266	2.029	0.029	0.170293864
3.95	0.222	3.908	1.33041347	1.257	0.153	0.357770876
2.969	0.172	2.949	1.139298029	1.107	0.12	0.339116499
2.437	0.159	2.424	0.618061486	1.683	0.099	0.3
2.501	0.108	2.494	0.620483682	1.856	0.087	0.238746728
2.2765	0.104	2.231	0.567890835	1.551	0.0735	0.228035085
2.052	0.1	1.968	0.509901951	1.246	0.06	0.216794834
4.757	0.159	4.754	1.839293343	0.914	0.117	0.317804972
3.848	0.186	3.734	1.286856635	1.315	0.116	0.316227766
2.789	0.142	2.605	0.638748777	1.928	0.101	0.294957624
2.719	0.096	2.698	0.819145897	1.643	0.042	0.151657509
2.117	0.157	2.084	0.432434966	1.434	0.121	0.327108545
2.381	0.093	2.126	0.473286383	1.523	0.027	0.118321596
3.477	0.009	3.442	0.871206061	0.412	0.005	0.063245553
2.896	0.09	2.867	0.646529195	1.764	0.051	0.192353841
4.476	0.089	4.372	1.291510743	1.964	0.061	0.214476106
4.556	0.086	4.386	1.087658034	2.713	0.021	0.109544512
4.461	0.046	4.397	1.024695077	2.667	0.014	0.077459667
4.647	0.081	4.45	1.265306287	2.553	0.039	0.144913767
5.407	0.071	5.11	1.171750827	3.001	0.04	0.054772256
5.925	0.085	5.573	1.196244122	3.29	0.034	0.14832397
6.085	0.105	5.618	1.162755348	3.571	0.038	0.137840488
6.469	0.11	5.877	1.48526092	2.11	0.027	0.118321596
7.386	0.104	7.036	1.704406055	2.886	0.033	0.126491106
6.92	0.097	6.51	1.603433815	3.251	0.02	0.077459667
7.764	0.275	7.013	2.10309296	2.369	0.067	0.194935887
6.695	0.111	6.38	1.739252713	2.488	0.032	0.070710678
7.756	0.101	7.141	1.899473611	2.731	0.024	0.134164079
7.804	0.141	7.516	1.96773982	2.915	0.031	0.126491106
5.587	0.193	4.976	1.322497637	2.504	0.056	0.187082869
7.457	0.122	6.901	1.788574852	2.723	0.039	0.130384048
9.398	0.15	8.729	2.387676695	2.38	0.039	0.126491106
9.688	0.128	9.573	2.568657237	2.345	0.048	0.1
8.93	0.246	8.897	2.465765601	2.247	0.05	0.14832397
10.436	0.152	10.07	2.661766331	1.949	0.047	0.167332005
