GJ1	GJ2	NJ1	NJ2	HP
166.519999	296.930006	458.03	565.009996	679.480003
94.950001	140.649997	222.989995	297.360001	355.430004
53.82	135.080002	243.81	336.1	414.079992
66.71	127.740001	237.330001	323.359998	387.989999
45.89	120.320001	197.059998	299.549999	394.439998
27.4	74.469999	141.779999	214.270001	232.399998
28.94	91.8	150.320002	215.740001	206.390002
20.33	53.73	126.880001	182.509998	249.190001
19.03	48.46	116.979998	169.31	218.860001
16.55	56.2	136.990005	183.75	226.490001
40.17	108.759999	153.719999	200.180004	231.990002
20.95	81.19	151.570002	167.469999	215.629999
18.85	88.68	132.259999	167.510005	210.520001
41.49	84.02	274.699993	284.079999	338.209999
24.12	53.62	142.270002	180.810002	213.3
18.96	55.43	137.270001	175.429998	205.099998
15.19	50.32	136.280002	165.38	174.079997
13.35	47.73	143.26	154.75	192.929997
12.91	49.22	136.889998	148.099995	170.81
12.47	47.82	132.779999	143.789998	167.389997
10.57	45.84	127.649997	138.430001	167.41
10.57	46.51	126.239999	136.950004	160.039998
10.19	46.44	125.510001	136.200001	182.309999
10.02	43.47	123.689998	134.259998	173.16
10.26	44.84	127.539998	138.299998	174.549997
11.14	42.23	127.669997	138.439999	185.110003
7.5	53.67	138.570002	149.840002	222.360005
99.190002	197.130002	442.109994	470.559995	603.31999
110.080002	203.970002	462.159995	492.569995	626.989992
41.5	81.020001	201.409999	223.039997	338.449996
17.84	46.65	148.01	212.519997	226.24
18.83	45.27	139.169995	186.94	227.519998
14.9	55.15	147.210001	208.47	198.049999
19.87	111.200001	214.029999	269.180005	344.559997
8.08	54.14	154.990002	194.960001	189.720006
4.07	53.59	132.449999	176.110005	199.569999
11.26	57.14	140.779999	229.189997	185.490002
30.31	71.32	157.199999	240.97	246.919997
47.46	142.970001	234.149999	311.080005	341.139997
58.97	111.280001	215.85	263.819997	294.140005
20.48	81.01	170.260001	184.260002	270.779998
80.700001	272.649997	390.400002	462.780001	505.939987
23.43	95.1	187.319999	350.029999	179.109997
29.76	97.779998	187.819999	279.490005	275.450001
62.659999	197.760002	382.809999	455.439997	514.829991
59.78	154.690001	333.140003	458.810001	463.479997
21.63	91.44	221.490002	251.980003	329.490002
43.16	104.93	267.229999	416.830003	425.120003
45.75	115.320002	225.010002	342.039998	371.399995
39.01	143.180001	241.160002	329.850004	344.14001
30.39	96.99	196.61	211.380002	294.949997
35.64	116.279999	212.1	199.849999	352.399998
58.39	110.399999	244.730003	278.850001	335.049996
11.04	56.46	156.470003	170.150002	220.790004
20.34	68.5	161.01	161.669999	215.259998
28.35	99.49	212.849999	286.02	301.979995
19.16	58.89	153.719998	174.780003	246.890001
12.07	49.69	128.240002	158.27	148.969998
8.94	42.74	123.82	114.560001	166.72
9.53	40.98	114.99	123.709999	177.960001
6.94	38.21	118.470003	117.2	154.689999
13.57	73.72	119.619999	145.709998	176.210002
12	48.48	119.800001	123.180002	152.119998
7.76	54.1	126.36	123.290001	174.940003
10.54	74.74	163.889996	107.479999	170.340001
8.55	50.79	126.15	140.549998	173.759998
