WT	DO	BOD	COD	TOC	pH	Cond	SS
21.4	8.8	7.1	11.6	7.6	7.7	415	4.6
24.9	18.5	8.1	16.700001	10.6	8	404	21.299999
24.6	14.6	6.4	14.8	9	8.2	432	16.299999
24.4	11.5	7.9	15.4	10.6	7.9	413	13.7
23.9	13.3	8.8	14.4	12.1	8.2	339	14.4
27.5	10.7	7.3	15.3	10.2	7.8	328	11.7
26.299999	9.7	6.3	15.3	10.5	7.5	390	16.4
26.5	7.1	5.5	13.2	9	7.5	252	20.1
26.799999	6.6	4	8.1	6.7	7.3	204	10.4
26.299999	5	2.5	7.5	5.5	7.2	129	12.6
28.5	8.5	3.4	7.4	5.5	7.9	189	5.7
30.4	10.4	3.8	9.1	6.55	8.2	208.5	8.7
32.299999	12.3	4.2	10.8	7.6	8.5	228	11.7
28.200001	6.5	3.1	7.7	6.2	6.9	341	8.4
26.9	6.3	3.7	8.3	6.2	7.1	259	22.299999
26.6	7.7	2.1	6.6	4.9	7.2	171	8.3
25.700001	14.8	5.5	8	6.3	7.9	256	7.9
22.799999	11.6	2.3	7.1	5.3	7.6	158	17.9
23.700001	9.5	6.9	9.2	6.8	7.7	213	10.8
24.5	10.5	4	7.3	5.8	7.4	317	5.6
24	11.1	3.8	6.9	4.9	7.2	305	6.8
19.200001	6.4	3.9	6.1	4.7	7.2	382	6.4
18.5	10.4	5.1	8.1	5.6	7.1	437	8.1
16.6	8.7	4	7.6	5.1	7.2	462	8.6
15.1	9.5	2.5	6.7	5.3	7.2	386	6.7
13.5	13.6	4.3	8.1	5.8	7.1	398	9.5
10.2	13.2	6	9.2	7.5	6.2	421	15.2
8.6	14.4	7.2	10.7	8.1	7.2	433	21.4
7.7	13.7	6.6	10.7	7.9	8	526	20.5
6.3	14.7	5	8.9	6.8	7.8	532	11.7
4.7	12.8	4.3	8.1	6.6	7.1	482	10.5
6.9	9.2	7.6	13.1	10.2	7.2	404	26.299999
4.8	13.2	7.2	11.6	8	8.4	461	13.6
5	13.3	6.9	12.1	8.4	8.2	475	14.7
8	15.3	7	11.4	8.5	7.6	486	14.4
6.2	16.5	6.8	11	8.8	8	521	15
2.8	16.9	6.8	11.3	8.4	7.9	558	17.1
3.3	8	6.9	12.3	9.3	7.9	471	15.9
4.3	11.8	6.1	10.7	8.4	8	614	14.1
5.9	18.200001	7.8	13.8	10.4	7.1	493	19.299999
7.8	18	6.9	13.1	9.4	7.8	449	18.4
10.7	15.5	7	12.8	9.6	7.5	473	15.1
10	12.8	6.3	11.4	8	7.7	367	18.1
11.7	9.9	6.2	11.5	7.8	7.2	233	59.700001
12.5	9.7	3.9	7	5.3	7.2	293	8.9
19	12.8	6.7	9.5	8.1	7.6	469	19.4
13.1	14.3	3.6	7.9	5.5	7	352	19
14.9	10.9	4.9	8.2	6.1	7	272	20
19	9.4	5	8.6	6.5	6.7	350	21.4
20.299999	10.1	3.7	7.4	5.3	7.3	287	15.2
18	8.3	3.3	9.2	5.6	6.7	210	21.5
20.5	8.8	4.5	8.3	6.3	6.9	233	22.5
20.700001	8.1	4.5	10.2	7	7	332	17.6
23	9.4	6.9	11.9	7.6	7.3	332	16.700001
26.700001	12.8	8.4	14.1	9.7	7.9	348	12.8
25.4	10.4	6	12.3	8.7	7.7	359	14.6
26.6	10.4	8.9	16.700001	11.5	8.2	352	19
27.5	10.1	9.1	17.9	10.2	8	370	20.9
26.25	9.25	6.75	12.549999	7.8	7.35	310.5	17
25	8.4	4.4	7.2	5.4	6.7	251	13.1
