GJ1	GJ2	NJ1	NJ2	HP
20.71	21.55	61.7	77.98	115.47
7.31	15.49	25.72	39.52	33.66
4.28	21.19	24.23	37.8	34.89
3.32	8.65	17.06	25.63	30.81
3	8.25	22.51	27.27	33.31
4.32	9.02	22.58	29.89	30.17
2.85	14.33	21.82	33.92	36.05
11.96	48.61	83.44	95.77	111.47
5.28	14.71	43.05	40.48	37.84
6.68	14.23	26.85	40.69	29.49
6.73	15.4	34.57	44.79	46.47
5.36	12.21	22.81	36.04	39.52
8.25	13.33	20.91	39.24	53.72
5.85	30.71	0	56.27	48.85
17.8	35.87	56.14	73.48	91.21
7.8	19.83	429.21	63.68	68.15
8.31	13.93	23.89	36.18	39.06
1.97	5.94	20.07	26.34	32.87
16.75	59.03	60.17	62.28	109.95
13.35	20.52	33.09	44.78	68.49
6.08	14.82	22.65	27.67	33.74
17.14	33.79	30.35	54.23	57.14
8.96	18.23	30.11	40.59	54.44
12.09	13.24	27.92	42.57	48.47
5.46	9.06	22.58	33.41	21.48
4.29	8.52	24.97	25.4	65.44
4.47	18.13	23.03	35.58	47.66
3.41	10.09	15.92	24.42	30
2.51	8.19	19.09	25.72	29.54
2.29	5.33	17.4	25.49	34.52
3.08	24.83	31.28	38.26	50.06
4.06	11.52	17.97	26.98	33.91
2.63	12.92	22.35	25.67	33.36
1.98	12.45	14.38	20.37	24.92
4.84	9	19.74	24.9	32
3.04	7.1	21.59	25.55	15.14
2.72	8.47	21.03	26.37	26.99
1.92	7.12	21.23	22.9	23.55
1.87	7.22	20.37	22	21.1
1.87	6.88	18.02	19.55	27.61
1.27	6.72	19.42	21.01	23.81
1.51	6.97	18.67	20.23	22.35
1.51	6.6	17.6	19.11	17.59
1.27	6.17	18.69	20.25	29.25
1.49	6.7	18.65	20.21	22.5
1.39	6.3	16.54	18	37.76
1.29	5.28	16.55	18.01	23.6
1.37	9.85	19.44	21.03	32.88
27.28	24.48	75.89	81.5	128.26
13.71	15.44	40.68	44.29	58.29
3.64	8.01	21.31	22.99	31.6
4.15	6.24	21.09	34.57	33.17
2.16	5.77	16.88	18.02	31.3
6.84	15.43	27.69	25.23	23.83
1.53	8.19	26.84	43.66	45.92
0.71	7.52	20.93	21.38	13.25
0.44	7.54	18.64	37.79	28.89
3.1	8.85	20.59	30.35	19.35
5.62	11.9	30.12	28.93	45.78
9.38	21.78	32.94	39.73	59.25
4.5	12.23	23.16	34.96	44.08
4.64	12.69	28.28	30.27	29.21
2.65	13.96	23.28	38.96	9.84
5.24	16.83	27.34	28.08	22.63
3.23	20.81	33.41	46.65	41.7
19.82	38.91	85.05	94.72	96.52
6.73	14.88	29.68	46.2	73.52
6.62	42.09	71.48	86.8	133.05
4.12	10.55	27.78	40.16	47.65
9.5	16.37	34.71	42.18	64.3
3.77	15.58	25.8	42.71	36.86
3.75	6.82	27.11	10.32	7.55
7.63	47.14	57.52	44.45	70.04
3.58	9.42	22.6	15.73	20.19
1.26	8.4	21.04	22.7	29.03
2.48	8.44	20.83	19.61	38.17
6.45	14.07	29.46	34.29	49.85
1.82	7.63	21.06	21.12	16.47
1.37	5.57	18.07	17.97	11.1
1.16	4.76	18.45	17.61	24.71
1.13	6.87	18.94	15.36	24.51
1.02	5.99	13.9	15.34	16.65
4.67	12.69	19.38	25.1	25.38
1.13	7.4	18.67	21.94	28.77
1.09	5.12	18.72	21.07	27.12
1.32	8.35	17.87	8.69	11.5
1.3	6.87	18.88	17.9	23.73
